corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-fra-ext1	FRA40452	FRA40452	NA		NA	NA	U	viaf:46766944	1844	1844	NA	1886	NA	NA	fra	104138	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40440	FRA40440	NA		NA	NA	U	viaf:46766944	1845	1845	NA	NA	NA	NA	fra	51134	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40568	FRA40568	NA	Les comédiens sans le savoir	NA	NA	U	viaf:29529595	1845	1845	2014	1842	NA	NA	fra	20872	NA	NA	short	unspecified	T1
ELTeC-fra-ext1	FRA40446	FRA40446	NA		NA	NA	U	viaf:46766944	1845	1845	NA	NA	NA	NA	fra	110453	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40444	FRA40444	NA		NA	NA	U	viaf:46766944	1845	1845	NA	NA	NA	NA	fra	146154	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40735	FRA40735	NA	Paula Monti, Tome I	NA	NA	U	viaf:66473859	1845	1845	2005	1845	NA	NA	fra	45450	NA	NA	short	unspecified	T1
ELTeC-fra-ext1	FRA40569	FRA40569	NA	La cousine Bette	NA	NA	U	viaf:29529595	1846	1846	2014	1842	NA	NA	fra	151572	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40450	FRA40450	NA		NA	NA	U	viaf:46766944	1846	1846	NA	NA	NA	NA	fra	81543	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40610	FRA40610	NA		NA	NA	U	NA	1846	1846	NA	NA	NA	NA	fra	182137	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40622	FRA40622	NA	La Quittance de Minuit, tome 2 : La galerie du géant	NA	NA	U	viaf:17222447	1846	1846	NA	NA	NA	NA	fra	82999	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40448	FRA40448	NA		NA	NA	U	viaf:46766944	1846	1846	NA	NA	NA	NA	fra	38748	NA	NA	short	unspecified	T1
ELTeC-fra-ext1	FRA40621	FRA40621	NA	La Quittance de Minuit, tome 1: L'Héritière	NA	NA	U	viaf:17222447	1846	1846	NA	NA	NA	NA	fra	87662	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40570	FRA40570	NA	Le cousin Pons	NA	NA	U	viaf:29529595	1847	1847	2014	1842	NA	NA	fra	107886	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40471	FRA40471	NA		NA	NA	U	viaf:46766944	1848	1848	NA	NA	NA	NA	fra	48463	NA	NA	short	unspecified	T1
ELTeC-fra-ext1	FRA40733	FRA40733	NA	Partie carrée	NA	NA	U	viaf:96428598	1848	1848	2010	1889	NA	NA	fra	61777	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40008	FRA40008	NA	Les mariages du père Olifus	NA	NA	U	viaf:51688902	1849	1849	NA	NA	NA	NA	fra	61684	NA	NA	medium	unspecified	T1
